"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 11 14:50:20 GMT 2022","Fri Mar 11 14:50:21 GMT 2022","525","Regression suite","Weather - Weather By City Name","com.client.project.api.tests.featureflow.WeatherTest","com.client.project.api.tests.featureflow.WeatherTest","verifyCoordsValue","verifyCoordsValue","Verify Weather Details Retrieval -  Correct Coordinates are retrieved "
"passed","Fri Mar 11 14:50:22 GMT 2022","Fri Mar 11 14:50:22 GMT 2022","471","Regression suite","Weather - Weather By City Name","com.client.project.api.tests.featureflow.WeatherTest","com.client.project.api.tests.featureflow.WeatherTest","verifyReturnedTimeStampIsToday","verifyReturnedTimeStampIsToday","Verify Weather Details Retrieval - Sunset and Sunrise time is for today date "
"passed","Fri Mar 11 14:50:21 GMT 2022","Fri Mar 11 14:50:22 GMT 2022","482","Regression suite","Weather - Weather By City Name","com.client.project.api.tests.featureflow.WeatherTest","com.client.project.api.tests.featureflow.WeatherTest","verifyMaxTempValueIsLessThanMaximum","verifyMaxTempValueIsLessThanMaximum","Verify Weather Details Retrieval - Maximum Temp shouldn't be more than 50"
"passed","Fri Mar 11 14:50:22 GMT 2022","Fri Mar 11 14:50:23 GMT 2022","499","Regression suite","Weather - Weather By City Name","com.client.project.api.tests.featureflow.WeatherTest","com.client.project.api.tests.featureflow.WeatherTest","verifySunriseIsDuringPM","verifySunriseIsDuringPM","Verify Weather Details Retrieval -  verify sunrise is during AM period"
"passed","Fri Mar 11 14:50:19 GMT 2022","Fri Mar 11 14:50:20 GMT 2022","1525","Regression suite","Weather - Weather By City Name","com.client.project.api.tests.featureflow.WeatherTest","com.client.project.api.tests.featureflow.WeatherTest","verifyCloudsAllIsPercentage","verifyCloudsAllIsPercentage","Verify Weather Details Retrieval - Clouds-all should be percentage "
"passed","Fri Mar 11 14:50:20 GMT 2022","Fri Mar 11 14:50:21 GMT 2022","559","Regression suite","Weather - Weather By City Name","com.client.project.api.tests.featureflow.WeatherTest","com.client.project.api.tests.featureflow.WeatherTest","verifyCountryValue","verifyCountryValue","Verify Weather Details Retrieval - Country value is correct"
"passed","Fri Mar 11 14:50:23 GMT 2022","Fri Mar 11 14:50:23 GMT 2022","472","Regression suite","Weather - Weather By City Name","com.client.project.api.tests.featureflow.WeatherTest","com.client.project.api.tests.featureflow.WeatherTest","verifyTempIsNotNegative","verifyTempIsNotNegative","Verify Weather Details Retrieval - Temperature cannot be negative "
"passed","Fri Mar 11 14:50:22 GMT 2022","Fri Mar 11 14:50:23 GMT 2022","463","Regression suite","Weather - Weather By City Name","com.client.project.api.tests.featureflow.WeatherTest","com.client.project.api.tests.featureflow.WeatherTest","verifySunSetIsDuringPM","verifySunSetIsDuringPM","Verify Weather Details Retrieval - verify sunset is during PM period"
"passed","Fri Mar 11 14:50:22 GMT 2022","Fri Mar 11 14:50:22 GMT 2022","479","Regression suite","Weather - Weather By City Name","com.client.project.api.tests.featureflow.WeatherTest","com.client.project.api.tests.featureflow.WeatherTest","verifyPressureIsNotNegative","verifyPressureIsNotNegative","Verify Weather Details Retrieval - Pressure value cannot be negative "
"passed","Fri Mar 11 14:50:21 GMT 2022","Fri Mar 11 14:50:21 GMT 2022","485","Regression suite","Weather - Weather By City Name","com.client.project.api.tests.featureflow.WeatherTest","com.client.project.api.tests.featureflow.WeatherTest","verifyHumidityIsNotNegativeValue","verifyHumidityIsNotNegativeValue","Verify Weather Details Retrieval - Humidity cannot be negative "
"passed","Fri Mar 11 14:50:21 GMT 2022","Fri Mar 11 14:50:21 GMT 2022","482","Regression suite","Weather - Weather By City Name","com.client.project.api.tests.featureflow.WeatherTest","com.client.project.api.tests.featureflow.WeatherTest","verifyHumidityIsPercentage","verifyHumidityIsPercentage","Verify Weather Details Retrieval - Humidity is percentage"
"passed","Fri Mar 11 14:50:23 GMT 2022","Fri Mar 11 14:50:23 GMT 2022","535","Regression suite","Weather - Weather By City Name","com.client.project.api.tests.featureflow.WeatherTest","com.client.project.api.tests.featureflow.WeatherTest","verifySunsetIsNotBeforeSunRise","verifySunsetIsNotBeforeSunRise","Verify Weather Details Retrieval - Verify Sunrise time is not after sunset time "
"passed","Fri Mar 11 14:50:21 GMT 2022","Fri Mar 11 14:50:22 GMT 2022","460","Regression suite","Weather - Weather By City Name","com.client.project.api.tests.featureflow.WeatherTest","com.client.project.api.tests.featureflow.WeatherTest","verifyMinTempValueIsGreaterThanMinimum","verifyMinTempValueIsGreaterThanMinimum","Verify Weather Details Retrieval - Minimum Temp shouldn't be less than - 50"
"passed","Fri Mar 11 14:50:18 GMT 2022","Fri Mar 11 14:50:20 GMT 2022","1716","Regression suite","Weather - Weather By City Name","com.client.project.api.tests.featureflow.WeatherTest","com.client.project.api.tests.featureflow.WeatherTest","verifyCityNameValue","verifyCityNameValue","Verify Weather Details Retrieval -  City name is correct"
"passed","Fri Mar 11 14:50:23 GMT 2022","Fri Mar 11 14:50:24 GMT 2022","523","Regression suite","Weather - Weather By City Name","com.client.project.api.tests.featureflow.WeatherTest","com.client.project.api.tests.featureflow.WeatherTest","verifyWindSpeedIsNotNegative","verifyWindSpeedIsNotNegative","Verify Weather Details Retrieval - Wind Speed cannot be negative "
